number_of_nodes,C_error,L2_error,file,C_fit,L2_fit
21,0.6397399999999998,0.6535169860785933,sphere_sigma_hh_21.csv,0.7170367003053252,0.6913545425125369
41,0.5069300000000001,0.361408501585101,sphere_sigma_hh_41.csv,0.41089189206654053,0.3257862668404171
61,0.3068500000000003,0.21234696098313485,sphere_sigma_hh_61.csv,0.2952101290050195,0.20839537486586196
81,0.20377999999999963,0.14177788569715605,sphere_sigma_hh_81.csv,0.23315190803258512,0.15149144922533206
