number_of_nodes,radius_hh_m,l1_hh_linear,radius_vv_m,l1_vv_linear
21,0.4998958408124002,0.12273795390575977,0.5003408716661919,0.14142604095933237
41,0.49950977492204696,0.05362393725485732,0.49972629624465864,0.058692973389141416
61,0.4996232867962514,0.031991781705302924,0.49976042573816465,0.0346123311432639
81,0.4997662238485657,0.022839316773537257,0.4998676383919944,0.025048459631445717
