polarization,number_of_nodes,fitted_radius_m,l1_linear,file
hh,21,0.4998958408124002,0.12273795390575977,sphere_sigma_hh_21.csv
hh,41,0.49950977492204696,0.05362393725485732,sphere_sigma_hh_41.csv
hh,61,0.4996232867962514,0.031991781705302924,sphere_sigma_hh_61.csv
hh,81,0.4997662238485657,0.022839316773537257,sphere_sigma_hh_81.csv
vv,21,0.5003408716661919,0.14142604095933237,sphere_sigma_vv_21.csv
vv,41,0.49972629624465864,0.058692973389141416,sphere_sigma_vv_41.csv
vv,61,0.49976042573816465,0.0346123311432639,sphere_sigma_vv_61.csv
vv,81,0.4998676383919944,0.025048459631445717,sphere_sigma_vv_81.csv
