angle,rsp
0,15.4386
0.5,15.4329
1,15.4156
1.5,15.3869
2,15.3466
2.5,15.2948
3,15.2312
3.5,15.1558
4,15.0685
4.5,14.9691
5,14.8574
5.5,14.7333
6,14.5966
6.5,14.4469
7,14.2841
7.5,14.1077
8,13.9175
8.5,13.713
9,13.4938
9.5,13.2594
10,13.0093
10.5,12.7428
11,12.4593
11.5,12.1579
12,11.8379
12.5,11.4982
13,11.1377
13.5,10.7551
14,10.349
14.5,9.91769
15,9.45929
15.5,8.97154
16,8.45179
16.5,7.89695
17,7.3033
17.5,6.66639
18,5.98075
18.5,5.23964
19,4.43459
19.5,3.55473
20,2.58586
20.5,1.50885
21,0.297124
21.5,-1.08779
22,-2.70464
22.5,-4.6497
23,-7.09761
23.5,-10.4186
24,-15.6514
24.5,-28.4191
25,-19.7966
25.5,-12.9021
26,-9.18462
26.5,-6.66561
27,-4.78032
27.5,-3.28877
28,-2.06657
28.5,-1.0409
29,-0.165434
29.5,0.591123
30,1.25091
30.5,1.83017
31,2.34117
31.5,2.7934
32,3.19437
32.5,3.55011
33,3.86554
33.5,4.14473
34,4.39109
34.5,4.60751
35,4.79644
35.5,4.96
36,5.10004
36.5,5.21817
37,5.31581
37.5,5.39422
38,5.45452
38.5,5.49772
39,5.52475
39.5,5.53643
40,5.53354
40.5,5.51677
41,5.48679
41.5,5.44423
42,5.38965
42.5,5.32364
43,5.24673
43.5,5.15944
44,5.06231
44.5,4.95586
45,4.8406
45.5,4.71709
46,4.58586
46.5,4.44751
47,4.30263
47.5,4.15186
48,3.99589
48.5,3.83544
49,3.6713
49.5,3.50429
50,3.33532
50.5,3.16536
51,2.99541
51.5,2.82658
52,2.66
52.5,2.49687
53,2.33842
53.5,2.18589
54,2.04052
54.5,1.90354
55,1.77609
55.5,1.65925
56,1.55396
56.5,1.461
57,1.38099
57.5,1.31431
58,1.26114
58.5,1.22141
59,1.19481
59.5,1.18083
60,1.17873
60.5,1.18761
61,1.20641
61.5,1.23394
62,1.26896
62.5,1.31014
63,1.35617
63.5,1.40572
64,1.45749
64.5,1.51024
65,1.56278
65.5,1.61399
66,1.66283
66.5,1.70831
67,1.74956
67.5,1.78575
68,1.81614
68.5,1.84005
69,1.85688
69.5,1.86607
70,1.86714
70.5,1.85966
71,1.84323
71.5,1.81752
72,1.78224
72.5,1.73713
73,1.68201
73.5,1.61672
74,1.54114
74.5,1.45522
75,1.35896
75.5,1.25241
76,1.1357
76.5,1.00903
77,0.872684
77.5,0.727045
78,0.572611
78.5,0.410007
79,0.239999
79.5,0.0635177
80,-0.118331
80.5,-0.304244
81,-0.492714
81.5,-0.68202
82,-0.870224
82.5,-1.05519
83,-1.23462
83.5,-1.40606
84,-1.56702
84.5,-1.71502
85,-1.84772
85.5,-1.96299
86,-2.05909
86.5,-2.13472
87,-2.18916
87.5,-2.22228
88,-2.23457
88.5,-2.22714
89,-2.20162
89.5,-2.16008
90,-2.10491
90.5,-2.03874
91,-1.96427
91.5,-1.88421
92,-1.80122
92.5,-1.71777
93,-1.63621
93.5,-1.55866
94,-1.48705
