angle,rsp
0,14.908
0.5,14.9023
1,14.8853
1.5,14.8569
2,14.8171
2.5,14.7659
3,14.703
3.5,14.6285
4,14.5422
4.5,14.444
5,14.3337
5.5,14.2111
6,14.076
6.5,13.9281
7,13.7672
7.5,13.5931
8,13.4052
8.5,13.2033
9,12.9869
9.5,12.7555
10,12.5087
10.5,12.2457
11,11.966
11.5,11.6688
12,11.3532
12.5,11.0183
13,10.663
13.5,10.2861
14,9.88614
14.5,9.46159
15,9.01057
15.5,8.53095
16,8.02023
16.5,7.47546
17,6.89316
17.5,6.26917
18,5.59844
18.5,4.8748
19,4.0906
19.5,3.23623
20,2.29938
20.5,1.264
21,0.108735
21.5,-1.19546
22,-2.68888
22.5,-4.42788
23,-6.48821
23.5,-8.94594
24,-11.7109
24.5,-13.7707
25,-13.1402
25.5,-10.7318
26,-8.32131
26.5,-6.30982
27,-4.66124
27.5,-3.29352
28,-2.1406
28.5,-1.15479
29,-0.30194
29.5,0.442802
30,1.09792
30.5,1.67745
31,2.19227
31.5,2.65097
32,3.06043
32.5,3.42623
33,3.75298
33.5,4.0445
34,4.30401
34.5,4.53423
35,4.73749
35.5,4.91579
36,5.07086
36.5,5.20422
37,5.31718
37.5,5.41089
38,5.48638
38.5,5.54456
39,5.58622
39.5,5.61208
40,5.62279
40.5,5.61891
41,5.60096
41.5,5.56942
42,5.5247
42.5,5.4672
43,5.39728
43.5,5.31528
44,5.22153
44.5,5.11634
45,5.00002
45.5,4.87289
46,4.73528
46.5,4.58756
47,4.43009
47.5,4.26333
48,4.08776
48.5,3.90395
49,3.71255
49.5,3.51433
50,3.31017
50.5,3.10111
51,2.88835
51.5,2.67329
52,2.45751
52.5,2.24282
53,2.03123
53.5,1.82498
54,1.62649
54.5,1.43831
55,1.26307
55.5,1.10342
56,0.961884
56.5,0.840749
57,0.74196
57.5,0.666986
58,0.616727
58.5,0.591446
59,0.590748
59.5,0.613601
60,0.658404
60.5,0.723078
61,0.805192
61.5,0.902082
62,1.01098
62.5,1.1291
63,1.25375
63.5,1.38239
64,1.51265
64.5,1.64239
65,1.76968
65.5,1.89281
66,2.01029
66.5,2.12082
67,2.22326
67.5,2.31664
68,2.40013
68.5,2.47301
69,2.53466
69.5,2.58455
70,2.62222
70.5,2.64727
71,2.65937
71.5,2.6582
72,2.64351
72.5,2.61507
73,2.57266
73.5,2.51612
74,2.4453
74.5,2.36006
75,2.26033
75.5,2.14603
76,2.01715
76.5,1.87372
77,1.71583
77.5,1.54365
78,1.35744
78.5,1.15758
79,0.944606
79.5,0.719213
80,0.482332
80.5,0.235154
81,-0.0208133
81.5,-0.283691
82,-0.551175
82.5,-0.820489
83,-1.08834
83.5,-1.35094
84,-1.60398
84.5,-1.84279
85,-2.06243
85.5,-2.25796
86,-2.42475
86.5,-2.55881
87,-2.65712
87.5,-2.71797
88,-2.74113
88.5,-2.72783
89,-2.68073
89.5,-2.6036
90,-2.50103
90.5,-2.37803
91,-2.23977
91.5,-2.09124
92,-1.93713
92.5,-1.78167
93,-1.62856
93.5,-1.48104
94,-1.34182
94.5,-1.21321
95,-1.0971
95.5,-0.995073
96,-0.908427
