angle,rsp
0,15.2712
0.5,15.2655
1,15.2483
1.5,15.2197
2,15.1795
2.5,15.1277
3,15.0642
3.5,14.9889
4,14.9018
4.5,14.8025
5,14.6911
5.5,14.5672
6,14.4307
6.5,14.2814
7,14.1188
7.5,13.9428
8,13.7529
8.5,13.5488
9,13.33
9.5,13.096
10,12.8464
10.5,12.5804
11,12.2974
11.5,11.9966
12,11.6771
12.5,11.338
13,10.9782
13.5,10.5963
14,10.1909
14.5,9.76045
15,9.30289
15.5,8.81602
16,8.29722
16.5,7.74339
17,7.15083
17.5,6.51511
18,5.83078
18.5,5.09117
19,4.28785
19.5,3.41008
20,2.44383
20.5,1.37033
21,0.163635
21.5,-1.21349
22,-2.81705
22.5,-4.73672
23,-7.12801
23.5,-10.2895
24,-14.8333
24.5,-20.4974
25,-17.2414
25.5,-12.2337
26,-8.90511
26.5,-6.52666
27,-4.7076
27.5,-3.25209
28,-2.05118
28.5,-1.03863
29,-0.171326
29.5,0.580288
30,1.23735
30.5,1.81547
31,2.32651
31.5,2.7797
32,3.18235
32.5,3.54034
33,3.8585
33.5,4.14081
34,4.39061
34.5,4.61074
35,4.80359
35.5,4.97126
36,5.11554
36.5,5.23799
37,5.34001
37.5,5.42282
38,5.48749
38.5,5.535
39,5.56621
39.5,5.58193
40,5.58285
40.5,5.56965
41,5.54292
41.5,5.50321
42,5.45107
42.5,5.38697
43,5.3114
43.5,5.2248
44,5.12763
44.5,5.02033
45,4.90333
45.5,4.77711
46,4.64214
46.5,4.4989
47,4.34794
47.5,4.18983
48,4.0252
48.5,3.85472
49,3.67917
49.5,3.49939
50,3.31629
50.5,3.13091
51,2.94439
51.5,2.75797
52,2.57302
52.5,2.39098
53,2.21343
53.5,2.042
54,1.87838
54.5,1.72427
55,1.58135
55.5,1.45121
56,1.33533
56.5,1.23495
57,1.1511
57.5,1.08448
58,1.03547
58.5,1.00406
59,0.989916
59.5,0.992321
60,1.01025
60.5,1.04242
61,1.08729
61.5,1.14321
62,1.20839
62.5,1.28102
63,1.35927
63.5,1.44138
64,1.52563
64.5,1.61044
65,1.6943
65.5,1.77585
66,1.85382
66.5,1.9271
67,1.99467
67.5,2.0556
68,2.10909
68.5,2.15442
69,2.19095
69.5,2.21811
70,2.2354
70.5,2.24238
71,2.23867
71.5,2.22392
72,2.19784
72.5,2.16017
73,2.11069
73.5,2.04924
74,1.97567
74.5,1.88989
75,1.79184
75.5,1.68153
76,1.55901
76.5,1.42442
77,1.27794
77.5,1.11987
78,0.950627
78.5,0.770731
79,0.580867
79.5,0.381895
80,0.17488
80.5,-0.0388802
81,-0.257822
81.5,-0.480096
82,-0.703539
82.5,-0.925671
83,-1.1437
83.5,-1.35456
84,-1.55495
84.5,-1.74147
85,-1.91073
85.5,-2.05951
86,-2.18497
86.5,-2.28482
87,-2.35753
87.5,-2.40242
88,-2.41973
88.5,-2.41062
89,-2.37709
89.5,-2.32181
90,-2.24797
90.5,-2.15905
91,-2.05868
91.5,-1.95044
92,-1.83778
92.5,-1.72389
93,-1.6117
93.5,-1.5038
94,-1.40252
94.5,-1.30983
95,-1.22749
95.5,-1.15696
96,-1.09954
96.5,-1.05628
97,-1.02814
97.5,-1.01588
98,-1.02019
98.5,-1.04163
99,-1.08068
99.5,-1.13775
100,-1.21316
100.5,-1.30714
101,-1.41986
101.5,-1.55136
102,-1.70157
102.5,-1.87025
103,-2.05698
103.5,-2.26108
104,-2.48156
104.5,-2.71698
105,-2.96545
105.5,-3.22438
106,-3.49046
106.5,-3.75946
107,-4.02612
107.5,-4.28413
108,-4.52612
108.5,-4.7439
109,-4.92885
109.5,-5.07254
110,-5.16752
110.5,-5.20824
111,-5.19176
111.5,-5.11818
112,-4.99067
112.5,-4.81497
113,-4.59869
113.5,-4.35037
114,-4.07875
114.5,-3.7921
115,-3.49786
115.5,-3.20244
116,-2.91119
116.5,-2.62846
117,-2.35771
117.5,-2.10168
118,-1.86249
118.5,-1.64176
119,-1.44078
119.5,-1.26052
120,-1.10177
120.5,-0.965151
121,-0.851208
121.5,-0.760425
122,-0.693267
122.5,-0.650203
123,-0.631737
123.5,-0.638422
124,-0.670884
124.5,-0.729839
125,-0.816115
125.5,-0.930667
126,-1.07461
126.5,-1.24921
127,-1.45597
127.5,-1.6966
128,-1.97308
128.5,-2.28768
129,-2.64301
129.5,-3.04204
130,-3.48808
130.5,-3.98481
131,-4.53613
131.5,-5.14591
132,-5.81738
132.5,-6.55195
133,-7.3469
133.5,-8.19094
134,-9.05658
134.5,-9.88873
135,-10.5935
135.5,-11.0428
136,-11.1183
136.5,-10.7828
137,-10.1081
137.5,-9.22359
138,-8.24793
138.5,-7.26091
139,-6.30662
139.5,-5.40574
140,-4.56582
140.5,-3.78764
141,-3.06881
141.5,-2.4056
142,-1.79391
142.5,-1.22969
143,-0.709172
143.5,-0.228929
144,0.214118
144.5,0.622711
145,0.999295
145.5,1.34605
146,1.66492
146.5,1.95766
147,2.22585
147.5,2.47093
148,2.69424
148.5,2.89701
149,3.08038
149.5,3.24546
150,3.39331
150.5,3.52496
151,3.64143
151.5,3.74374
152,3.83294
152.5,3.91009
153,3.9763
153.5,4.03272
154,4.08058
154.5,4.12116
155,4.1558
155.5,4.18592
156,4.21302
156.5,4.23864
157,4.26438
157.5,4.29186
158,4.32271
158.5,4.35852
159,4.4008
159.5,4.45099
160,4.51032
160.5,4.57988
161,4.6605
161.5,4.75275
162,4.85693
162.5,4.97305
163,5.10081
163.5,5.23968
164,5.38888
164.5,5.54741
165,5.71414
165.5,5.88779
166,6.06705
166.5,6.25053
167,6.43687
167.5,6.62474
168,6.81286
168.5,7.00003
169,7.18512
169.5,7.3671
170,7.54503
170.5,7.71807
171,7.88545
171.5,8.04651
172,8.20066
172.5,8.34737
173,8.4862
173.5,8.61675
174,8.73868
174.5,8.85171
175,8.95559
175.5,9.0501
176,9.13507
176.5,9.21035
177,9.27582
177.5,9.33137
178,9.37693
178.5,9.41243
179,9.43781
179.5,9.45306
