angle,rsp
0,15.4386
0.5,15.4304
1,15.406
1.5,15.3651
2,15.3077
2.5,15.2336
3,15.1427
3.5,15.0346
4,14.9091
4.5,14.7657
5,14.604
5.5,14.4236
6,14.2237
6.5,14.0038
7,13.763
7.5,13.5005
8,13.2153
8.5,12.9061
9,12.5716
9.5,12.2104
10,11.8206
10.5,11.4002
11,10.9469
11.5,10.4578
12,9.92968
12.5,9.35877
13,8.74049
13.5,8.06939
14,7.33895
14.5,6.5413
15,5.66695
15.5,4.70456
16,3.64087
16.5,2.46141
17,1.15325
17.5,-0.286346
18,-1.82627
18.5,-3.34531
19,-4.54526
19.5,-4.98683
20,-4.48407
20.5,-3.34951
21,-2.00553
21.5,-0.691041
22,0.507436
22.5,1.57257
23,2.51148
23.5,3.33792
24,4.066
24.5,4.70831
25,5.27547
25.5,5.77631
26,6.21812
26.5,6.60692
27,6.94769
27.5,7.24458
28,7.50107
28.5,7.72005
29,7.90399
29.5,8.05493
30,8.17463
30.5,8.26456
31,8.32597
31.5,8.3599
32,8.36723
32.5,8.34869
33,8.30489
33.5,8.23632
34,8.14339
34.5,8.02643
35,7.8857
35.5,7.72142
36,7.53379
36.5,7.32298
37,7.08922
37.5,6.83278
38,6.55401
38.5,6.25345
39,5.93186
39.5,5.59029
40,5.23026
40.5,4.85385
41,4.4639
41.5,4.0642
42,3.6597
42.5,3.25674
43,2.86316
43.5,2.48828
44,2.14272
44.5,1.83779
45,1.58454
45.5,1.3925
46,1.26834
46.5,1.2148
47,1.23016
47.5,1.30862
48,1.44118
48.5,1.61703
49,1.8248
49.5,2.05364
50,2.29386
50.5,2.53725
51,2.77713
51.5,3.00823
52,3.2265
52.5,3.42893
53,3.61328
53.5,3.77795
54,3.92183
54.5,4.04416
55,4.14444
55.5,4.22237
56,4.27777
56.5,4.31059
57,4.32081
57.5,4.30846
58,4.27362
58.5,4.21637
59,4.13681
59.5,4.03506
60,3.91126
60.5,3.76559
61,3.59827
61.5,3.40958
62,3.19989
62.5,2.96971
63,2.7197
63.5,2.45076
64,2.16406
64.5,1.86116
65,1.54405
65.5,1.21532
66,0.878222
66.5,0.536792
67,0.19594
67.5,-0.138527
68,-0.459955
68.5,-0.761033
69,-1.03415
69.5,-1.2719
70,-1.46778
70.5,-1.61686
71,-1.71645
71.5,-1.76642
72,-1.76925
72.5,-1.72975
73,-1.65443
