angle,rsp
0,15.1619
0.5,15.1537
1,15.1293
1.5,15.0884
2,15.031
2.5,14.957
3,14.8661
3.5,14.7581
4,14.6327
4.5,14.4896
5,14.3283
5.5,14.1483
6,13.9491
6.5,13.7301
7,13.4906
7.5,13.2297
8,12.9466
8.5,12.6403
9,12.3096
9.5,11.9532
10,11.5697
10.5,11.1574
11,10.7147
11.5,10.2394
12,9.72946
12.5,9.18242
13,8.59578
13.5,7.96697
14,7.2936
14.5,6.5738
15,5.80692
15.5,4.99474
16,4.14356
16.5,3.26751
17,2.39359
17.5,1.56757
18,0.857502
18.5,0.346954
19,0.11021
19.5,0.176965
20,0.51503
20.5,1.04893
21,1.69524
21.5,2.38664
22,3.07811
22.5,3.74313
23,4.36784
23.5,4.94603
24,5.47592
24.5,5.95806
25,6.3942
25.5,6.78659
26,7.13762
26.5,7.44963
27,7.72481
27.5,7.96515
28,8.17242
28.5,8.3482
29,8.49386
29.5,8.61059
30,8.6994
30.5,8.76117
31,8.79661
31.5,8.80631
32,8.79072
32.5,8.75019
33,8.68496
33.5,8.59517
34,8.48085
34.5,8.34195
35,8.17834
35.5,7.98977
36,7.77594
36.5,7.53648
37,7.27093
37.5,6.97881
38,6.65959
38.5,6.31273
39,5.93775
39.5,5.53427
40,5.10211
40.5,4.64146
41,4.15302
41.5,3.63838
42,3.10035
42.5,2.54358
43,1.97528
43.5,1.40606
44,0.850779
44.5,0.329112
45,-0.134848
45.5,-0.514557
46,-0.785005
46.5,-0.928136
47,-0.937704
47.5,-0.821144
48,-0.597375
48.5,-0.291782
49,0.069125
49.5,0.461541
50,0.866169
50.5,1.26849
51,1.65817
51.5,2.02823
52,2.37416
52.5,2.69322
53,2.98387
53.5,3.24542
54,3.4777
54.5,3.68086
55,3.85526
55.5,4.00137
56,4.11968
56.5,4.2107
57,4.2749
57.5,4.31272
58,4.32454
58.5,4.31066
59,4.27133
59.5,4.20675
60,4.11703
60.5,4.00222
61,3.86232
61.5,3.69729
62,3.50702
62.5,3.29136
63,3.05018
63.5,2.7833
64,2.4906
64.5,2.17201
65,1.82757
65.5,1.45752
66,1.06237
66.5,0.643038
67,0.201053
67.5,-0.261254
68,-0.740438
68.5,-1.23159
69,-1.72794
69.5,-2.22048
70,-2.69767
70.5,-3.14555
71,-3.54824
71.5,-3.88931
72,-4.15391
72.5,-4.33123
73,-4.41673
73.5,-4.41314
74,-4.32989
74.5,-4.18119
75,-3.98347
75.5,-3.75317
76,-3.50513
76.5,-3.25184
77,-3.00325
77.5,-2.767
78,-2.54874
78.5,-2.35256
79,-2.18137
79.5,-2.03718
