angle,rsp
0,14.9747
0.5,14.968
1,14.9479
1.5,14.9142
2,14.867
2.5,14.8062
3,14.7316
3.5,14.6431
4,14.5405
4.5,14.4235
5,14.292
5.5,14.1457
6,13.9841
6.5,13.807
7,13.6139
7.5,13.4043
8,13.1777
8.5,12.9335
9,12.671
9.5,12.3894
10,12.0879
10.5,11.7654
11,11.421
11.5,11.0533
12,10.6609
12.5,10.2422
13,9.79522
13.5,9.31792
14,8.80778
14.5,8.2619
15,7.67689
15.5,7.04879
16,6.37292
16.5,5.64375
17,4.85473
17.5,3.99815
18,3.06507
18.5,2.04541
19,0.928825
19.5,-0.292965
20,-1.61969
20.5,-3.02689
21,-4.43195
21.5,-5.64117
22,-6.3416
22.5,-6.28659
23,-5.5572
23.5,-4.46726
24,-3.28468
24.5,-2.147
25,-1.10515
25.5,-0.169874
26,0.663618
26.5,1.40506
27,2.0649
27.5,2.65283
28,3.17729
28.5,3.64555
29,4.06375
29.5,4.43712
30,4.7701
30.5,5.06651
31,5.3296
31.5,5.56222
32,5.76685
32.5,5.94566
33,6.10059
33.5,6.23334
34,6.34548
34.5,6.43839
35,6.51336
35.5,6.57154
36,6.61402
36.5,6.6418
37,6.65582
37.5,6.65694
38,6.646
38.5,6.62377
39,6.59099
39.5,6.54835
40,6.49651
40.5,6.43609
41,6.36768
41.5,6.29182
42,6.20903
42.5,6.11976
43,6.02444
43.5,5.92347
44,5.81717
44.5,5.70584
45,5.58972
45.5,5.46902
46,5.34387
46.5,5.21437
47,5.0806
47.5,4.94256
48,4.80023
48.5,4.65356
49,4.50249
49.5,4.34692
50,4.18675
50.5,4.02192
51,3.85236
51.5,3.67803
52,3.49899
52.5,3.31533
53,3.12725
53.5,2.9351
54,2.73933
54.5,2.54061
55,2.33978
55.5,2.13794
56,1.93643
56.5,1.73689
57,1.54123
57.5,1.35168
58,1.17072
58.5,1.00108
59,0.845636
59.5,0.70732
60,0.588988
60.5,0.493257
61,0.422338
61.5,0.377873
62,0.360796
62.5,0.37125
63,0.408552
63.5,0.471228
64,0.557111
64.5,0.663476
65,0.787204
65.5,0.924946
66,1.07328
66.5,1.22885
67,1.38843
67.5,1.54905
68,1.70796
68.5,1.86273
69,2.01117
69.5,2.15138
70,2.28168
70.5,2.4006
71,2.50687
71.5,2.59936
72,2.67708
72.5,2.73912
73,2.78468
73.5,2.81299
74,2.82334
74.5,2.81502
75,2.78734
75.5,2.73957
76,2.67099
76.5,2.58081
77,2.46818
77.5,2.33219
78,2.17183
78.5,1.98599
79,1.77341
79.5,1.53269
80,1.26227
80.5,0.960369
81,0.624964
81.5,0.253779
82,-0.155764
82.5,-0.606574
83,-1.10191
83.5,-1.64534
84,-2.24074
84.5,-2.892
85,-3.60268
85.5,-4.37506
86,-5.20842
86.5,-6.09567
87,-7.01744
87.5,-7.93249
88,-8.76603
88.5,-9.40534
89,-9.72397
89.5,-9.6441
90,-9.19057
