angle,rsp
0,15.1957
0.5,15.1876
1,15.1632
1.5,15.1225
2,15.0653
2.5,14.9916
3,14.9011
3.5,14.7936
4,14.6688
4.5,14.5263
5,14.3657
5.5,14.1866
6,13.9884
6.5,13.7705
7,13.5323
7.5,13.2729
8,12.9916
8.5,12.6872
9,12.3587
9.5,12.0049
10,11.6244
10.5,11.2157
11,10.777
11.5,10.3066
12,9.80239
12.5,9.26223
13,8.68389
13.5,8.06517
14,7.40418
14.5,6.69968
15,5.95184
15.5,5.16341
16,4.34177
16.5,3.50196
17,2.67107
17.5,1.89288
18,1.22974
18.5,0.755295
19,0.532962
19.5,0.587483
20,0.891517
20.5,1.38031
21,1.98025
21.5,2.62973
22,3.28575
22.5,3.92183
23,4.52323
23.5,5.08275
24,5.59764
24.5,6.06769
25,6.49401
25.5,6.87837
26,7.22281
26.5,7.52935
27,7.79998
27.5,8.03651
28,8.24057
28.5,8.41364
29,8.557
29.5,8.67178
30,8.75893
30.5,8.81927
31,8.85348
31.5,8.8621
32,8.84557
32.5,8.80421
33,8.73824
33.5,8.64775
34,8.53278
34.5,8.39323
35,8.22894
35.5,8.03965
36,7.82503
36.5,7.58464
37,7.31801
37.5,7.02458
38,6.70375
38.5,6.35491
39,5.97747
39.5,5.57092
40,5.13491
40.5,4.66941
41,4.17488
41.5,3.65258
42,3.10495
42.5,2.53621
43,1.9531
43.5,1.36585
44,0.789139
44.5,0.242865
45,-0.247924
45.5,-0.654811
46,-0.950084
46.5,-1.11271
47,-1.13413
47.5,-1.02092
48,-0.792751
48.5,-0.476849
49,-0.101873
49.5,0.306471
50,0.727488
50.5,1.14577
51,1.55049
51.5,1.93444
52,2.29307
52.5,2.62366
53,2.92479
53.5,3.19586
54,3.43681
54.5,3.6479
55,3.82959
55.5,3.98242
56,4.10698
56.5,4.20383
57,4.2735
57.5,4.31648
58,4.33317
58.5,4.32394
59,4.28905
59.5,4.22872
60,4.14307
60.5,4.03219
61,3.89608
61.5,3.73469
62,3.5479
62.5,3.33558
63,3.09755
63.5,2.83361
64,2.54361
64.5,2.22739
65,1.88495
65.5,1.51639
66,1.12209
66.5,0.702819
67,0.259852
67.5,-0.20475
68,-0.687881
68.5,-1.18503
69,-1.68985
69.5,-2.19377
70,-2.68558
70.5,-3.15141
71,-3.57511
71.5,-3.93943
72,-4.22812
72.5,-4.42851
73,-4.53415
73.5,-4.54618
74,-4.47319
74.5,-4.32929
75,-4.13148
75.5,-3.89709
76,-3.64199
76.5,-3.37957
77,-3.12054
77.5,-2.8731
78,-2.64331
78.5,-2.43552
79,-2.2528
79.5,-2.09725
80,-1.97031
80.5,-1.8729
81,-1.80564
81.5,-1.76892
82,-1.76298
82.5,-1.788
83,-1.8441
83.5,-1.93136
84,-2.04985
84.5,-2.1996
85,-2.38059
85.5,-2.5927
86,-2.83564
86.5,-3.10888
87,-3.4115
87.5,-3.74203
88,-4.09819
88.5,-4.4766
89,-4.87236
89.5,-5.27856
90,-5.68587
90.5,-6.08207
91,-6.45198
91.5,-6.77795
92,-7.0413
92.5,-7.22467
93,-7.31507
93.5,-7.30668
94,-7.20224
94.5,-7.01235
95,-6.75316
95.5,-6.44329
96,-6.10108
96.5,-5.74284
97,-5.38203
97.5,-5.02917
98,-4.69215
98.5,-4.37673
99,-4.08698
99.5,-3.82577
100,-3.59506
100.5,-3.39623
101,-3.23026
101.5,-3.09789
102,-2.99975
102.5,-2.93644
103,-2.9086
103.5,-2.91698
104,-2.96248
104.5,-3.0462
105,-3.16952
105.5,-3.3341
106,-3.54197
106.5,-3.79563
107,-4.0981
107.5,-4.45307
108,-4.86502
108.5,-5.33941
109,-5.8829
109.5,-6.50362
110,-7.21141
110.5,-8.01804
111,-8.93708
111.5,-9.98259
112,-11.1649
112.5,-12.4776
113,-13.8645
113.5,-15.148
114,-15.9572
114.5,-15.8898
115,-14.9565
115.5,-13.5669
116,-12.0843
116.5,-10.6796
117,-9.40592
117.5,-8.26825
118,-7.25597
118.5,-6.35488
119,-5.55138
119.5,-4.83371
120,-4.19198
120.5,-3.61807
121,-3.10528
121.5,-2.6481
122,-2.24201
122.5,-1.88328
123,-1.56885
123.5,-1.29619
124,-1.06326
124.5,-0.868398
125,-0.710286
125.5,-0.587915
126,-0.500547
126.5,-0.447695
127,-0.429102
127.5,-0.444734
128,-0.494767
128.5,-0.579591
129,-0.699799
129.5,-0.856191
130,-1.04977
130.5,-1.28174
131,-1.55347
131.5,-1.86649
132,-2.2224
132.5,-2.62275
133,-3.06884
133.5,-3.56133
134,-4.0996
134.5,-4.6807
135,-5.29768
135.5,-5.937
136,-6.57498
136.5,-7.17398
137,-7.68045
137.5,-8.02967
138,-8.16154
138.5,-8.04414
139,-7.68937
139.5,-7.14686
140,-6.48179
140.5,-5.75418
141,-5.0092
141.5,-4.27667
142,-3.57441
142.5,-2.91209
143,-2.29425
143.5,-1.72242
144,-1.19642
144.5,-0.715159
145,-0.277144
145.5,0.119255
146,0.475638
146.5,0.793485
147,1.07411
147.5,1.31864
148,1.52799
148.5,1.70287
149,1.8438
149.5,1.95104
150,2.02469
150.5,2.06459
151,2.07034
151.5,2.04131
152,1.97657
152.5,1.87489
153,1.73468
153.5,1.55392
154,1.33012
154.5,1.06018
155,0.740267
155.5,0.365632
156,-0.0696353
156.5,-0.572958
157,-1.15375
157.5,-1.82408
158,-2.59968
158.5,-3.50126
159,-4.55648
159.5,-5.80227
160,-7.28621
160.5,-9.05956
161,-11.1265
161.5,-13.2109
162,-14.2222
162.5,-13.0893
163,-10.8057
163.5,-8.50774
164,-6.49886
164.5,-4.78066
165,-3.30212
165.5,-2.01491
166,-0.881331
166.5,0.126959
167,1.03126
167.5,1.84779
168,2.58908
168.5,3.26498
169,3.88332
169.5,4.45046
170,4.97156
170.5,5.45089
171,5.89203
171.5,6.29796
172,6.67123
172.5,7.01399
173,7.32809
173.5,7.61512
174,7.87644
174.5,8.11323
175,8.32651
175.5,8.51715
176,8.6859
176.5,8.83341
177,8.96023
177.5,9.0668
178,9.1535
178.5,9.22063
179,9.26843
179.5,9.29704
