angle,rsp
0,15.1957
0.5,15.1899
1,15.1725
1.5,15.1435
2,15.1028
2.5,15.0505
3,14.9862
3.5,14.9101
4,14.822
4.5,14.7216
5,14.6088
5.5,14.4835
6,14.3455
6.5,14.1943
7,14.0298
7.5,13.8517
8,13.6596
8.5,13.453
9,13.2316
9.5,12.9948
10,12.742
10.5,12.4727
11,12.1862
11.5,11.8815
12,11.558
12.5,11.2144
13,10.8498
13.5,10.4627
14,10.0517
14.5,9.6151
15,9.15086
15.5,8.65667
16,8.12981
16.5,7.56707
17,6.96457
17.5,6.31768
18,5.62071
18.5,4.8666
19,4.04647
19.5,3.14893
20,2.15901
20.5,1.05654
21,-0.186527
21.5,-1.61082
22,-3.27817
22.5,-5.2889
23,-7.8197
23.5,-11.2128
24,-16.1004
24.5,-20.368
25,-15.7332
25.5,-11.2968
26,-8.27873
26.5,-6.07176
27,-4.35919
27.5,-2.97583
28,-1.82692
28.5,-0.85359
29,-0.0168903
29.5,0.710221
30,1.34727
30.5,1.90879
31,2.40592
31.5,2.84734
32,3.24
32.5,3.58949
33,3.90042
33.5,4.17662
34,4.4213
34.5,4.6372
35,4.82664
35.5,4.99165
36,5.13397
36.5,5.25515
37,5.35653
37.5,5.4393
38,5.50453
38.5,5.55317
39,5.58607
39.5,5.60401
40,5.60769
40.5,5.59774
41,5.57476
41.5,5.53928
42,5.4918
42.5,5.43281
43,5.36273
43.5,5.28199
44,5.19101
44.5,5.09018
45,4.9799
45.5,4.86056
46,4.73258
46.5,4.59639
47,4.45242
47.5,4.30117
48,4.14317
48.5,3.97898
49,3.80925
49.5,3.63469
50,3.45609
50.5,3.27434
51,3.09044
51.5,2.9055
52,2.72073
52.5,2.53748
53,2.35722
53.5,2.18152
54,2.01204
54.5,1.85053
55,1.69875
55.5,1.55844
56,1.4313
56.5,1.31886
57,1.22248
57.5,1.14327
58,1.08199
58.5,1.03908
59,1.01456
59.5,1.00809
60,1.01893
60.5,1.04601
61,1.08794
61.5,1.14312
62,1.20976
62.5,1.28597
63,1.36982
63.5,1.45937
64,1.55274
64.5,1.64813
65,1.74386
65.5,1.83835
66,1.93017
66.5,2.018
67,2.10067
67.5,2.17712
68,2.2464
68.5,2.30768
69,2.3602
69.5,2.40332
70,2.43644
70.5,2.45906
71,2.47071
71.5,2.47099
72,2.45954
72.5,2.43606
73,2.40026
73.5,2.3519
74,2.2908
74.5,2.21677
75,2.1297
75.5,2.0295
76,1.91612
76.5,1.7896
77,1.64999
77.5,1.49746
78,1.33226
78.5,1.15472
79,0.965349
79.5,0.764771
80,0.553818
80.5,0.333536
81,0.10523
81.5,-0.1295
82,-0.368721
82.5,-0.610131
83,-0.851043
83.5,-1.08837
84,-1.31867
84.5,-1.53818
85,-1.74293
85.5,-1.9289
86,-2.09225
86.5,-2.22949
87,-2.33783
87.5,-2.41532
88,-2.46106
88.5,-2.47533
89,-2.4595
89.5,-2.41597
90,-2.34794
90.5,-2.25921
91,-2.1539
91.5,-2.03623
92,-1.91031
92.5,-1.78004
93,-1.64899
93.5,-1.52033
94,-1.39689
94.5,-1.28108
95,-1.17499
95.5,-1.08039
96,-0.998763
96.5,-0.931363
97,-0.879244
97.5,-0.843289
98,-0.824239
98.5,-0.822718
99,-0.839249
99.5,-0.874269
100,-0.928136
100.5,-1.00113
101,-1.09347
101.5,-1.20526
102,-1.33654
102.5,-1.48721
103,-1.65702
103.5,-1.84552
104,-2.05202
104.5,-2.27551
105,-2.51456
105.5,-2.7672
106,-3.03086
106.5,-3.30214
107,-3.57673
107.5,-3.84929
108,-4.11333
108.5,-4.36133
109,-4.58488
109.5,-4.7751
110,-4.92336
110.5,-5.02202
111,-5.06545
111.5,-5.0507
112,-4.97803
112.5,-4.85084
113,-4.67514
113.5,-4.45885
114,-4.21079
114.5,-3.9399
115,-3.65462
115.5,-3.36249
116,-3.06997
116.5,-2.78244
117,-2.50426
117.5,-2.23887
118,-1.989
118.5,-1.75674
119,-1.54373
119.5,-1.35123
120,-1.18022
120.5,-1.03149
121,-0.9057
121.5,-0.80341
122,-0.725145
122.5,-0.671415
123,-0.64275
123.5,-0.639723
124,-0.662971
124.5,-0.713221
125,-0.791304
125.5,-0.898185
126,-1.03498
126.5,-1.20298
127,-1.40368
127.5,-1.63881
128,-1.91038
128.5,-2.22069
129,-2.57239
129.5,-2.96847
130,-3.41234
130.5,-3.90772
131,-4.4586
131.5,-5.06889
132,-5.74189
132.5,-6.47895
133,-7.27708
133.5,-8.12427
134,-8.99148
134.5,-9.82062
135,-10.5134
135.5,-10.9381
136,-10.9775
136.5,-10.6027
137,-9.89477
137.5,-8.98696
138,-7.99708
138.5,-7.00218
139,-6.04394
139.5,-5.14142
140,-4.30118
140.5,-3.52345
141,-2.8055
141.5,-2.14346
142,-1.53312
142.5,-0.970419
143,-0.451575
143.5,0.0268307
144,0.467855
144.5,0.874216
145,1.24833
145.5,1.59233
146,1.90815
146.5,2.19748
147,2.46188
147.5,2.70274
148,2.92135
148.5,3.11888
149,3.29644
149.5,3.45508
150,3.59579
150.5,3.71956
151,3.82732
151.5,3.92006
152,3.99874
152.5,4.06437
153,4.118
153.5,4.16072
154,4.19372
154.5,4.21824
155,4.2356
155.5,4.24725
156,4.2547
156.5,4.25956
157,4.26353
157.5,4.26838
158,4.27592
158.5,4.28797
159,4.30634
159.5,4.33275
160,4.3688
160.5,4.41591
161,4.47528
161.5,4.54781
162,4.63409
162.5,4.73436
163,4.84855
163.5,4.97619
164,5.11656
164.5,5.26863
165,5.43115
165.5,5.60273
166,5.78183
166.5,5.96687
167,6.15625
167.5,6.34843
168,6.54187
168.5,6.73517
169,6.92701
169.5,7.11616
170,7.30153
170.5,7.48214
171,7.65711
171.5,7.82566
172,7.98712
172.5,8.1409
173,8.28649
173.5,8.42344
174,8.55139
174.5,8.67002
175,8.77905
175.5,8.87826
176,8.96746
176.5,9.04648
177,9.1152
177.5,9.17351
178,9.22133
178.5,9.25858
179,9.28523
179.5,9.30123
