number_of_nodes,C_error,L2_error,file,C_fit,L2_fit
40,14.6484,1.9254622781772794,sphere_sigma_hh_40.csv,14.67792618547714,1.9331201188767277
60,6.726699999999999,1.073775466955036,sphere_sigma_hh_60.csv,6.694143220133344,1.0635552480395851
80,3.8241999999999994,0.6921705862162639,sphere_sigma_hh_80.csv,3.8350686982673547,0.6960536838306312
