number_of_nodes,radius_hh_m,l1_hh_linear,radius_vv_m,l1_vv_linear
40,0.49615682714235393,0.2082655208413528,0.49620787390201887,0.19228105328338263
60,0.49743804026922345,0.12058246567509442,0.49788802647178687,0.11330589371379177
80,0.49830519213172453,0.08055524171900805,0.49868557474468866,0.0770635472676003
