number_of_nodes,C_error,L2_error,file,C_fit,L2_fit
40,6.55809,3.566391222867715,sphere_sigma_vv_40.csv,6.4329754615771835,3.595369377966386
60,3.3107999999999986,1.9148587831445574,sphere_sigma_vv_60.csv,3.468078367929103,1.8778840032413526
80,2.298799999999998,1.1710625278266464,sphere_sigma_vv_80.csv,2.237230389600548,1.1844958414401985
