polarization,number_of_nodes,fitted_radius_m,l1_linear,file
hh,40,0.49615682714235393,0.2082655208413528,sphere_sigma_hh_40.csv
hh,60,0.49743804026922345,0.12058246567509442,sphere_sigma_hh_60.csv
hh,80,0.49830519213172453,0.08055524171900805,sphere_sigma_hh_80.csv
vv,40,0.49620787390201887,0.19228105328338263,sphere_sigma_vv_40.csv
vv,60,0.49788802647178687,0.11330589371379177,sphere_sigma_vv_60.csv
vv,80,0.49868557474468866,0.0770635472676003,sphere_sigma_vv_80.csv
