number_of_nodes,C_error,L2_error,file,C_fit,L2_fit
40,11.5528,1.9731156132087495,sphere_sigma_hh_40.csv,12.50933992989774,2.0453358987347463
60,11.127899999999999,1.5440312741604945,sphere_sigma_hh_60.csv,9.187019051100618,1.4159240380447726
80,6.597299999999999,1.0368345400531385,sphere_sigma_hh_80.csv,7.380022591705893,1.090720526983583
