polarization,number_of_nodes,fitted_radius_m,l1_linear,file
hh,40,0.4964532777516325,0.3134562362817795,sphere_sigma_hh_40.csv
hh,60,0.4976414173150293,0.19315188370907657,sphere_sigma_hh_60.csv
hh,80,0.4984911199969043,0.13586785988389552,sphere_sigma_hh_80.csv
vv,40,0.4964331031072712,0.28954255837241416,sphere_sigma_vv_40.csv
vv,60,0.49821076644974516,0.17828894200869685,sphere_sigma_vv_60.csv
vv,80,0.4989335553974193,0.12454389659081547,sphere_sigma_vv_80.csv
