number_of_nodes,C_error,L2_error,file,C_fit,L2_fit
40,6.4067799999999995,3.481402379174855,sphere_sigma_vv_40.csv,6.441689523511029,3.48193460147137
60,4.137599999999999,1.7573248885014952,sphere_sigma_vv_60.csv,4.083779867262244,1.7566777601985388
80,2.9328999999999983,1.0808925011614878,sphere_sigma_vv_80.csv,2.955448917271234,1.081125404452925
