number_of_nodes,radius_hh_m,l1_hh_linear,radius_vv_m,l1_vv_linear
40,0.4964532777516325,0.3134562362817795,0.4964331031072712,0.28954255837241416
60,0.4976414173150293,0.19315188370907657,0.49821076644974516,0.17828894200869685
80,0.4984911199969043,0.13586785988389552,0.4989335553974193,0.12454389659081547
