angle,rsp
0,15.6438
0.5,15.6427
1,15.6394
1.5,15.634
2,15.6263
2.5,15.6165
3,15.6045
3.5,15.5903
4,15.5739
4.5,15.5553
5,15.5346
5.5,15.5116
6,15.4865
6.5,15.4592
7,15.4296
7.5,15.3979
8,15.364
8.5,15.3279
9,15.2896
9.5,15.2491
10,15.2064
10.5,15.1614
11,15.1143
11.5,15.065
12,15.0134
12.5,14.9597
13,14.9037
13.5,14.8455
14,14.7851
14.5,14.7225
15,14.6576
15.5,14.5906
16,14.5213
16.5,14.4498
17,14.376
17.5,14.3001
18,14.2219
18.5,14.1414
19,14.0588
19.5,13.9739
20,13.8868
20.5,13.7975
21,13.706
21.5,13.6122
22,13.5163
22.5,13.4181
23,13.3177
23.5,13.2151
24,13.1103
24.5,13.0033
25,12.8942
25.5,12.7828
26,12.6693
26.5,12.5537
27,12.4359
27.5,12.316
28,12.194
28.5,12.07
29,11.9438
29.5,11.8156
30,11.6854
30.5,11.5532
31,11.4191
31.5,11.283
32,11.145
32.5,11.0052
33,10.8635
33.5,10.7201
34,10.575
34.5,10.4282
35,10.2798
35.5,10.1299
36,9.97846
36.5,9.82564
37,9.67149
37.5,9.51608
38,9.35952
38.5,9.20189
39,9.04329
39.5,8.88383
40,8.72361
40.5,8.56276
41,8.4014
41.5,8.23966
42,8.07768
42.5,7.91559
43,7.75354
43.5,7.5917
44,7.43021
44.5,7.26925
45,7.10898
45.5,6.94957
46,6.7912
46.5,6.63405
47,6.47829
47.5,6.3241
48,6.17167
48.5,6.02116
49,5.87274
49.5,5.72659
50,5.58286
50.5,5.44171
51,5.30328
51.5,5.16769
52,5.03508
52.5,4.90554
53,4.77916
53.5,4.65602
54,4.53618
54.5,4.41968
55,4.30654
55.5,4.19675
56,4.09031
56.5,3.98718
57,3.8873
57.5,3.7906
58,3.69699
58.5,3.60637
59,3.51861
59.5,3.43357
60,3.35111
60.5,3.27106
61,3.19326
61.5,3.11752
62,3.04365
62.5,2.97146
63,2.90075
63.5,2.83132
64,2.76296
64.5,2.69548
65,2.62867
65.5,2.56232
66,2.49625
66.5,2.43024
67,2.36412
67.5,2.29768
68,2.23076
68.5,2.16317
69,2.09475
69.5,2.02532
70,1.95473
70.5,1.88282
71,1.80946
71.5,1.7345
72,1.65781
72.5,1.57927
73,1.49875
73.5,1.41615
74,1.33136
74.5,1.24427
75,1.15481
75.5,1.06288
76,0.968399
76.5,0.871305
77,0.77153
77.5,0.669016
78,0.563712
78.5,0.455578
79,0.344579
79.5,0.230688
80,0.11389
80.5,-0.00582163
81,-0.128444
81.5,-0.253962
82,-0.382349
82.5,-0.513563
83,-0.647551
83.5,-0.78424
84,-0.923542
84.5,-1.06535
85,-1.20954
85.5,-1.35595
86,-1.5044
86.5,-1.65471
87,-1.80662
87.5,-1.95987
88,-2.11416
88.5,-2.26916
89,-2.42447
89.5,-2.57968
90,-2.73433
90.5,-2.88789
91,-3.03982
91.5,-3.1895
92,-3.3363
92.5,-3.4795
93,-3.61838
93.5,-3.75219
94,-3.88011
94.5,-4.00135
95,-4.11509
95.5,-4.22053
96,-4.31689
96.5,-4.40342
97,-4.47945
97.5,-4.54436
98,-4.59764
98.5,-4.63888
99,-4.66777
99.5,-4.68414
100,-4.68797
100.5,-4.67934
101,-4.65847
101.5,-4.62572
102,-4.58153
102.5,-4.52646
103,-4.46114
103.5,-4.38628
104,-4.30263
104.5,-4.21096
105,-4.11208
105.5,-4.00677
106,-3.89584
106.5,-3.78004
107,-3.66011
107.5,-3.53675
108,-3.41063
108.5,-3.28234
109,-3.15248
109.5,-3.02155
110,-2.89003
110.5,-2.75837
111,-2.62695
111.5,-2.49612
112,-2.36619
112.5,-2.23745
113,-2.11014
113.5,-1.98447
114,-1.86063
114.5,-1.73878
115,-1.61907
115.5,-1.50161
116,-1.3865
116.5,-1.27383
117,-1.16367
117.5,-1.05608
118,-0.951092
118.5,-0.848752
119,-0.749082
119.5,-0.652099
120,-0.557812
120.5,-0.466227
121,-0.377339
121.5,-0.291142
122,-0.207626
122.5,-0.126773
123,-0.0485675
123.5,0.0270137
124,0.0999939
124.5,0.170399
125,0.238257
125.5,0.303597
126,0.36645
126.5,0.426847
127,0.484823
127.5,0.54041
128,0.593643
128.5,0.644557
129,0.693188
129.5,0.739571
130,0.783743
130.5,0.82574
131,0.865599
131.5,0.903357
132,0.93905
132.5,0.972716
133,1.00439
133.5,1.03411
134,1.06192
134.5,1.08785
135,1.11194
135.5,1.13422
136,1.15473
136.5,1.17351
137,1.1906
137.5,1.20603
138,1.21984
138.5,1.23207
139,1.24275
139.5,1.25193
140,1.25963
140.5,1.26589
141,1.27076
141.5,1.27426
142,1.27644
142.5,1.27733
143,1.27697
143.5,1.2754
144,1.27265
144.5,1.26876
145,1.26376
145.5,1.2577
146,1.25061
146.5,1.24253
147,1.2335
147.5,1.22354
148,1.21271
148.5,1.20103
149,1.18855
149.5,1.1753
150,1.16132
150.5,1.14665
151,1.13132
151.5,1.11538
152,1.09885
152.5,1.08177
153,1.0642
153.5,1.04615
154,1.02767
154.5,1.00879
155,0.989555
155.5,0.969997
156,0.950154
156.5,0.930061
157,0.909755
157.5,0.889271
158,0.868645
158.5,0.847912
159,0.827107
159.5,0.806264
160,0.785418
160.5,0.764602
161,0.74385
161.5,0.723195
162,0.702669
162.5,0.682303
163,0.66213
163.5,0.642179
164,0.622482
164.5,0.603067
165,0.583964
165.5,0.5652
166,0.546804
166.5,0.528802
167,0.511219
167.5,0.494082
168,0.477414
168.5,0.46124
169,0.445583
169.5,0.430463
170,0.415903
170.5,0.401922
171,0.38854
171.5,0.375775
172,0.363645
172.5,0.352167
173,0.341355
173.5,0.331225
174,0.32179
174.5,0.313062
175,0.305055
175.5,0.297777
176,0.29124
176.5,0.285451
177,0.280418
177.5,0.276149
178,0.272648
178.5,0.26992
179,0.267969
179.5,0.266797
