angle,rsp
0,15.6161
0.5,15.6151
1,15.6118
1.5,15.6064
2,15.5989
2.5,15.5892
3,15.5773
3.5,15.5633
4,15.5471
4.5,15.5288
5,15.5083
5.5,15.4856
6,15.4608
6.5,15.4338
7,15.4047
7.5,15.3733
8,15.3399
8.5,15.3042
9,15.2664
9.5,15.2264
10,15.1842
10.5,15.1399
11,15.0934
11.5,15.0447
12,14.9938
12.5,14.9408
13,14.8855
13.5,14.8281
14,14.7685
14.5,14.7067
15,14.6427
15.5,14.5766
16,14.5082
16.5,14.4377
17,14.365
17.5,14.2901
18,14.213
18.5,14.1337
19,14.0522
19.5,13.9685
20,13.8827
20.5,13.7947
21,13.7045
21.5,13.6121
22,13.5176
22.5,13.4208
23,13.322
23.5,13.2209
24,13.1178
24.5,13.0124
25,12.905
25.5,12.7954
26,12.6838
26.5,12.57
27,12.4542
27.5,12.3363
28,12.2163
28.5,12.0943
29,11.9704
29.5,11.8444
30,11.7165
30.5,11.5867
31,11.4549
31.5,11.3214
32,11.1859
32.5,11.0488
33,10.9098
33.5,10.7692
34,10.6269
34.5,10.4831
35,10.3377
35.5,10.1908
36,10.0425
36.5,9.89296
37,9.74212
37.5,9.59011
38,9.43701
38.5,9.28293
39,9.12795
39.5,8.97218
40,8.81574
40.5,8.65873
41,8.50127
41.5,8.34351
42,8.18556
42.5,8.02756
43,7.86967
43.5,7.71202
44,7.55478
44.5,7.3981
45,7.24214
45.5,7.08706
46,6.93304
46.5,6.78024
47,6.62883
47.5,6.47898
48,6.33086
48.5,6.18463
49,6.04046
49.5,5.89849
50,5.75888
50.5,5.62177
51,5.48729
51.5,5.35557
52,5.22671
52.5,5.1008
53,4.97794
53.5,4.85819
54,4.74159
54.5,4.62819
55,4.518
55.5,4.41102
56,4.30724
56.5,4.20661
57,4.10908
57.5,4.01459
58,3.92304
58.5,3.83434
59,3.74837
59.5,3.665
60,3.58409
60.5,3.50548
61,3.42901
61.5,3.35452
62,3.28182
62.5,3.21073
63,3.14106
63.5,3.07262
64,3.00522
64.5,2.93866
65,2.87276
65.5,2.80732
66,2.74214
66.5,2.67705
67,2.61186
67.5,2.54639
68,2.48047
68.5,2.41391
69,2.34657
69.5,2.27829
70,2.2089
70.5,2.13826
71,2.06623
71.5,1.99267
72,1.91747
72.5,1.84049
73,1.76161
73.5,1.68074
74,1.59775
74.5,1.51257
75,1.42509
75.5,1.33523
76,1.24292
76.5,1.14807
77,1.05064
77.5,0.950543
78,0.847745
78.5,0.742197
79,0.633864
79.5,0.522715
80,0.408731
80.5,0.2919
81,0.172221
81.5,0.0497024
82,-0.0756344
82.5,-0.203757
83,-0.334619
83.5,-0.46816
84,-0.604302
84.5,-0.742949
85,-0.883987
85.5,-1.02728
86,-1.17267
86.5,-1.31997
87,-1.46896
87.5,-1.61941
88,-1.77103
88.5,-1.92352
89,-2.07653
89.5,-2.22966
90,-2.38248
90.5,-2.53452
91,-2.68526
91.5,-2.83413
92,-2.98051
92.5,-3.12376
93,-3.26318
93.5,-3.39802
94,-3.52754
94.5,-3.65093
95,-3.76742
95.5,-3.87619
96,-3.97647
96.5,-4.06749
97,-4.14854
97.5,-4.21898
98,-4.27824
98.5,-4.32583
99,-4.36138
99.5,-4.38464
100,-4.39548
100.5,-4.3939
101,-4.38003
101.5,-4.35413
102,-4.31657
102.5,-4.26782
103,-4.20846
103.5,-4.13913
104,-4.06053
104.5,-3.97342
105,-3.87857
105.5,-3.77676
106,-3.66878
106.5,-3.55541
107,-3.43739
107.5,-3.31544
108,-3.19025
108.5,-3.06245
109,-2.93264
109.5,-2.80137
110,-2.66916
110.5,-2.53647
111,-2.40371
111.5,-2.27126
112,-2.13947
112.5,-2.00864
113,-1.87904
113.5,-1.7509
114,-1.62443
114.5,-1.49982
115,-1.37722
115.5,-1.25677
116,-1.13858
116.5,-1.02276
117,-0.909384
117.5,-0.798522
118,-0.690229
118.5,-0.584549
119,-0.481517
119.5,-0.381157
120,-0.283486
120.5,-0.188515
121,-0.0962482
121.5,-0.00668285
122,0.0801869
122.5,0.164372
123,0.245885
123.5,0.324746
124,0.400973
124.5,0.474589
125,0.545619
125.5,0.61409
126,0.68003
126.5,0.743468
127,0.804434
127.5,0.862961
128,0.91908
128.5,0.972826
129,1.02423
129.5,1.07333
130,1.12015
130.5,1.16474
131,1.20713
131.5,1.24735
132,1.28544
132.5,1.32143
133,1.35536
133.5,1.38727
134,1.41719
134.5,1.44516
135,1.47121
135.5,1.49538
136,1.51771
136.5,1.53822
137,1.55696
137.5,1.57397
138,1.58927
138.5,1.60291
139,1.61491
139.5,1.62533
140,1.63418
140.5,1.64151
141,1.64736
141.5,1.65175
142,1.65473
142.5,1.65634
143,1.6566
143.5,1.65555
144,1.65324
144.5,1.64969
145,1.64495
145.5,1.63905
146,1.63203
146.5,1.62392
147,1.61477
147.5,1.6046
148,1.59346
148.5,1.58139
149,1.56841
149.5,1.55458
150,1.53992
150.5,1.52448
151,1.50829
151.5,1.4914
152,1.47383
152.5,1.45564
153,1.43685
153.5,1.41751
154,1.39766
154.5,1.37733
155,1.35656
155.5,1.33539
156,1.31387
156.5,1.29203
157,1.2699
157.5,1.24753
158,1.22496
158.5,1.20222
159,1.17936
159.5,1.15641
160,1.1334
160.5,1.11039
161,1.0874
161.5,1.06447
162,1.04164
162.5,1.01895
163,0.996429
163.5,0.974118
164,0.952049
164.5,0.930258
165,0.90878
165.5,0.887647
166,0.866894
166.5,0.846552
167,0.826652
167.5,0.807226
168,0.788304
168.5,0.769915
169,0.752088
169.5,0.734849
170,0.718227
170.5,0.702245
171,0.686929
171.5,0.672302
172,0.658387
172.5,0.645205
173,0.632776
173.5,0.621119
174,0.610253
174.5,0.600194
175,0.590957
175.5,0.582557
176,0.575006
176.5,0.568316
177,0.562497
177.5,0.557558
178,0.553506
178.5,0.550349
179,0.54809
179.5,0.546733
