angle,rsp
0,15.6161
0.5,15.6151
1,15.612
1.5,15.6069
2,15.5996
2.5,15.5904
3,15.579
3.5,15.5656
4,15.5501
4.5,15.5326
5,15.5129
5.5,15.4912
6,15.4674
6.5,15.4416
7,15.4136
7.5,15.3836
8,15.3514
8.5,15.3172
9,15.2808
9.5,15.2424
10,15.2018
10.5,15.1591
11,15.1143
11.5,15.0674
12,15.0183
12.5,14.967
13,14.9136
13.5,14.8581
14,14.8004
14.5,14.7405
15,14.6784
15.5,14.6141
16,14.5476
16.5,14.4789
17,14.4079
17.5,14.3348
18,14.2593
18.5,14.1817
19,14.1017
19.5,14.0195
20,13.935
20.5,13.8482
21,13.759
21.5,13.6676
22,13.5737
22.5,13.4776
23,13.379
23.5,13.2781
24,13.1748
24.5,13.0691
25,12.9609
25.5,12.8503
26,12.7372
26.5,12.6217
27,12.5036
27.5,12.3831
28,12.26
28.5,12.1344
29,12.0063
29.5,11.8755
30,11.7422
30.5,11.6063
31,11.4677
31.5,11.3266
32,11.1827
32.5,11.0362
33,10.8871
33.5,10.7352
34,10.5806
34.5,10.4233
35,10.2633
35.5,10.1005
36,9.93501
36.5,9.76673
37,9.59568
37.5,9.42186
38,9.24527
38.5,9.06591
39,8.88378
39.5,8.69889
40,8.51125
40.5,8.32087
41,8.12778
41.5,7.93199
42,7.73353
42.5,7.53244
43,7.32876
43.5,7.12255
44,6.91385
44.5,6.70274
45,6.4893
45.5,6.27361
46,6.05578
46.5,5.83592
47,5.61415
47.5,5.39063
48,5.16552
48.5,4.939
49,4.71127
49.5,4.48255
50,4.25308
50.5,4.02314
51,3.79301
51.5,3.56302
52,3.3335
52.5,3.10484
53,2.87741
53.5,2.65166
54,2.42802
54.5,2.20697
55,1.989
55.5,1.7746
56,1.56431
56.5,1.35865
57,1.15814
57.5,0.963322
58,0.774695
58.5,0.592755
59,0.417962
59.5,0.250743
60,0.0914764
60.5,-0.0595129
61,-0.20196
61.5,-0.335665
62,-0.460504
62.5,-0.576421
63,-0.68344
63.5,-0.781658
64,-0.871244
64.5,-0.952434
65,-1.02553
65.5,-1.09088
66,-1.1489
66.5,-1.20002
67,-1.24472
67.5,-1.2835
68,-1.31686
68.5,-1.34532
69,-1.36939
69.5,-1.38959
70,-1.40642
70.5,-1.42034
71,-1.43181
71.5,-1.44128
72,-1.44914
72.5,-1.45578
73,-1.46155
73.5,-1.46677
74,-1.47174
74.5,-1.47672
75,-1.48195
75.5,-1.48763
76,-1.49397
76.5,-1.5011
77,-1.50918
77.5,-1.51832
78,-1.5286
78.5,-1.5401
79,-1.55287
79.5,-1.56696
80,-1.58237
80.5,-1.59912
81,-1.61719
81.5,-1.63656
82,-1.65718
82.5,-1.67902
83,-1.702
83.5,-1.72606
84,-1.75113
84.5,-1.7771
85,-1.80388
85.5,-1.83138
86,-1.85948
86.5,-1.88806
87,-1.91701
87.5,-1.9462
88,-1.97551
88.5,-2.00481
89,-2.03398
89.5,-2.06288
90,-2.09139
90.5,-2.11939
91,-2.14676
91.5,-2.17338
92,-2.19913
92.5,-2.22392
93,-2.24765
93.5,-2.27023
94,-2.29157
94.5,-2.31162
95,-2.33032
95.5,-2.3476
96,-2.36345
96.5,-2.37784
97,-2.39076
97.5,-2.40221
98,-2.41221
98.5,-2.42078
99,-2.42797
99.5,-2.43384
100,-2.43845
100.5,-2.44188
101,-2.44422
101.5,-2.44557
102,-2.44603
102.5,-2.44574
103,-2.4448
103.5,-2.44337
104,-2.44158
104.5,-2.43958
105,-2.43752
105.5,-2.43555
106,-2.43384
106.5,-2.43255
107,-2.43184
107.5,-2.43188
108,-2.43284
108.5,-2.43487
109,-2.43816
109.5,-2.44287
110,-2.44917
110.5,-2.45721
111,-2.46718
111.5,-2.47922
112,-2.49352
112.5,-2.51022
113,-2.52949
113.5,-2.55149
114,-2.57639
114.5,-2.60434
115,-2.6355
115.5,-2.67004
116,-2.70811
116.5,-2.74988
117,-2.79551
117.5,-2.84517
118,-2.89902
118.5,-2.95724
119,-3.02
119.5,-3.08748
120,-3.15987
120.5,-3.23735
121,-3.32013
121.5,-3.40841
122,-3.50241
122.5,-3.60234
123,-3.70845
123.5,-3.82099
124,-3.94021
124.5,-4.0664
125,-4.19986
125.5,-4.3409
126,-4.48986
126.5,-4.64712
127,-4.81306
127.5,-4.98811
128,-5.17273
128.5,-5.36744
129,-5.57277
129.5,-5.78934
130,-6.01782
130.5,-6.25892
131,-6.51348
131.5,-6.78239
132,-7.06666
132.5,-7.36743
133,-7.68598
133.5,-8.02375
134,-8.38241
134.5,-8.76383
135,-9.1702
135.5,-9.60405
136,-10.0683
136.5,-10.5665
137,-11.1028
137.5,-11.6821
138,-12.3104
138.5,-12.995
139,-13.7451
139.5,-14.5718
140,-15.4896
140.5,-16.5162
141,-17.6742
141.5,-18.9903
142,-20.4915
142.5,-22.1861
143,-23.9971
143.5,-25.5814
144,-26.1797
144.5,-25.3285
145,-23.6193
145.5,-21.7628
146,-20.0454
146.5,-18.523
147,-17.1821
147.5,-15.995
148,-14.9356
148.5,-13.9821
149,-13.1172
149.5,-12.3271
150,-11.601
150.5,-10.93
151,-10.3071
151.5,-9.72637
152,-9.18306
152.5,-8.67313
153,-8.19319
153.5,-7.74035
154,-7.31214
154.5,-6.90645
155,-6.52142
155.5,-6.15545
156,-5.80712
156.5,-5.47518
157,-5.15854
157.5,-4.8562
158,-4.56728
158.5,-4.29101
159,-4.02666
159.5,-3.77361
160,-3.53127
160.5,-3.29911
161,-3.07666
161.5,-2.86348
162,-2.65916
162.5,-2.46335
163,-2.2757
163.5,-2.09592
164,-1.9237
164.5,-1.7588
165,-1.60096
165.5,-1.44996
166,-1.30561
166.5,-1.16769
167,-1.03605
167.5,-0.910499
168,-0.7909
168.5,-0.677106
169,-0.568985
169.5,-0.466416
170,-0.369284
170.5,-0.277485
171,-0.190921
171.5,-0.109501
172,-0.0331426
172.5,0.038231
173,0.104691
173.5,0.166301
174,0.223122
174.5,0.275207
175,0.322605
175.5,0.36536
176,0.403512
176.5,0.437095
177,0.46614
177.5,0.490673
178,0.510715
178.5,0.526286
179,0.537397
179.5,0.544061
