angle,rsp
0,15.6238
0.5,15.6228
1,15.6197
1.5,15.6145
2,15.6073
2.5,15.598
3,15.5866
3.5,15.5731
4,15.5576
4.5,15.5399
5,15.5202
5.5,15.4985
6,15.4746
6.5,15.4486
7,15.4206
7.5,15.3904
8,15.3581
8.5,15.3238
9,15.2873
9.5,15.2487
10,15.208
10.5,15.1651
11,15.1201
11.5,15.073
12,15.0237
12.5,14.9723
13,14.9187
13.5,14.8629
14,14.805
14.5,14.7448
15,14.6825
15.5,14.6179
16,14.5512
16.5,14.4822
17,14.411
17.5,14.3375
18,14.2618
18.5,14.1838
19,14.1035
19.5,14.021
20,13.9361
20.5,13.8489
21,13.7594
21.5,13.6675
22,13.5733
22.5,13.4768
23,13.3778
23.5,13.2764
24,13.1727
24.5,13.0665
25,12.9578
25.5,12.8467
26,12.7331
26.5,12.6171
27,12.4985
27.5,12.3774
28,12.2538
28.5,12.1276
29,11.9989
29.5,11.8675
30,11.7336
30.5,11.597
31,11.4578
31.5,11.3159
32,11.1714
32.5,11.0242
33,10.8743
33.5,10.7217
34,10.5663
34.5,10.4083
35,10.2474
35.5,10.0838
36,9.91747
36.5,9.74832
37,9.5764
37.5,9.40168
38,9.22418
38.5,9.04389
39,8.86081
39.5,8.67496
40,8.48634
40.5,8.29496
41,8.10086
41.5,7.90405
42,7.70457
42.5,7.50244
43,7.29772
43.5,7.09047
44,6.88073
44.5,6.66858
45,6.4541
45.5,6.23738
46,6.01854
46.5,5.79769
47,5.57497
47.5,5.35052
48,5.12452
48.5,4.89716
49,4.66865
49.5,4.43921
50,4.20911
50.5,3.97862
51,3.74805
51.5,3.51772
52,3.288
52.5,3.05927
53,2.83194
53.5,2.60644
54,2.38325
54.5,2.16283
55,1.94571
55.5,1.73238
56,1.5234
56.5,1.31928
57,1.12057
57.5,0.927798
58,0.741471
58.5,0.562078
59,0.390074
59.5,0.225873
60,0.0698371
60.5,-0.0777275
61,-0.21658
61.5,-0.346549
62,-0.467539
62.5,-0.579529
63,-0.682575
63.5,-0.776808
64,-0.862434
64.5,-0.939721
65,-1.009
65.5,-1.07066
66,-1.12513
66.5,-1.17288
67,-1.2144
67.5,-1.2502
68,-1.2808
68.5,-1.30674
69,-1.32854
69.5,-1.3467
70,-1.36173
70.5,-1.3741
71,-1.38427
71.5,-1.39267
72,-1.3997
72.5,-1.40573
73,-1.41111
73.5,-1.41616
74,-1.42115
74.5,-1.42636
75,-1.432
75.5,-1.43828
76,-1.44537
76.5,-1.45343
77,-1.4626
77.5,-1.47296
78,-1.48462
78.5,-1.49764
79,-1.51205
79.5,-1.52791
80,-1.5452
80.5,-1.56395
81,-1.58412
81.5,-1.60569
82,-1.62861
82.5,-1.65283
83,-1.67829
83.5,-1.7049
84,-1.73258
84.5,-1.76124
85,-1.79078
85.5,-1.82107
86,-1.85201
86.5,-1.88348
87,-1.91535
87.5,-1.94748
88,-1.97975
88.5,-2.01201
89,-2.04414
89.5,-2.076
90,-2.10744
